userid;register_time;country;;;;
11760;24/04/2017;TH;;;;
11770;13/05/2017;TH;;;;
11772;28/04/2017;MY;;;;
11776;06/02/2017;MY;;;;
11780;09/01/2017;ID;;;;
11789;15/02/2017;ID;;;;
11795;22/02/2017;MY;;;;
11805;18/01/2017;SG;;;;
11806;10/04/2017;SG;;;;
11807;09/05/2017;MY;;;;
11816;16/03/2017;VN;;;;
11826;25/01/2017;SG;;;;
11834;10/03/2017;VN;;;;
11837;26/02/2017;ID;;;;
11838;01/06/2017;SG;;;;
11846;06/02/2017;VN;;;;
11853;24/02/2017;PH;;;;
11855;16/02/2017;MY;;;;
11863;10/05/2017;TH;;;;
11866;17/05/2017;SG;;;;
11867;17/01/2017;MY;;;;
11873;20/04/2017;SG;;;;
11882;17/02/2017;SG;;;;
11883;01/04/2017;VN;;;;
11885;19/05/2017;TW;;;;
11892;12/02/2017;MY;;;;
11893;25/05/2017;VN;;;;
11901;06/03/2017;TH;;;;
11902;05/03/2017;VN;;;;
11907;21/01/2017;SG;;;;
11910;18/03/2017;ID;;;;
11914;21/01/2017;SG;;;;
11915;18/03/2017;SG;;;;
11925;16/04/2017;ID;;;;
11927;03/01/2017;TW;;;;
11937;30/03/2017;MY;;;;
11945;25/05/2017;MY;;;;
11950;30/01/2017;MY;;;;
11951;23/04/2017;ID;;;;
11957;05/04/2017;SG;;;;
11961;15/05/2017;MY;;;;
11963;13/02/2017;PH;;;;
11969;16/02/2017;TH;;;;
11972;03/03/2017;PH;;;;
11982;04/04/2017;MY;;;;
11987;30/03/2017;VN;;;;
11997;19/01/2017;VN;;;;
12001;11/04/2017;TH;;;;
12005;27/05/2017;TW;;;;
12010;13/05/2017;MY;;;;
12011;31/03/2017;SG;;;;
12017;13/02/2017;PH;;;;
12020;20/03/2017;PH;;;;
12028;16/05/2017;MY;;;;
12030;03/04/2017;MY;;;;
12040;15/04/2017;MY;;;;
12045;26/05/2017;VN;;;;
12047;25/03/2017;SG;;;;
12050;10/02/2017;PH;;;;
12055;31/01/2017;MY;;;;
12059;01/01/2017;ID;;;;
12068;09/05/2017;SG;;;;
12077;27/02/2017;SG;;;;
12078;18/03/2017;VN;;;;
12083;08/04/2017;VN;;;;
12088;07/05/2017;MY;;;;
12096;03/02/2017;PH;;;;
12103;12/02/2017;TH;;;;
12106;15/05/2017;TW;;;;
12112;02/01/2017;VN;;;;
12117;06/02/2017;SG;;;;
12123;21/04/2017;TW;;;;
12133;10/05/2017;TW;;;;
12134;10/01/2017;TW;;;;
12136;12/04/2017;TH;;;;
12146;27/02/2017;VN;;;;
12149;19/05/2017;TH;;;;
12152;06/05/2017;VN;;;;
12157;14/01/2017;TW;;;;
12167;13/01/2017;MY;;;;
12171;29/04/2017;SG;;;;
12173;09/03/2017;SG;;;;
12175;17/05/2017;TH;;;;
12176;21/01/2017;PH;;;;
12181;18/02/2017;VN;;;;
12186;09/01/2017;VN;;;;
12195;07/04/2017;TW;;;;
12196;16/01/2017;MY;;;;
12197;21/04/2017;TW;;;;
12202;08/03/2017;ID;;;;
12206;02/02/2017;TW;;;;
12215;21/04/2017;TH;;;;
12218;26/04/2017;PH;;;;
12224;07/03/2017;TH;;;;
12226;01/06/2017;MY;;;;
12232;20/01/2017;TH;;;;
12233;25/05/2017;TW;;;;
12240;01/01/2017;SG;;;;
12248;06/01/2017;ID;;;;
12258;12/03/2017;TH;;;;
12262;02/01/2017;TH;;;;
12270;17/04/2017;SG;;;;
12277;15/01/2017;ID;;;;
12283;25/04/2017;MY;;;;
12292;16/03/2017;PH;;;;
12302;03/05/2017;ID;;;;
12307;14/04/2017;PH;;;;
12309;21/03/2017;PH;;;;
12311;01/02/2017;TW;;;;
12317;08/01/2017;ID;;;;
12323;05/05/2017;TW;;;;
12329;29/01/2017;TH;;;;
12330;02/03/2017;ID;;;;
12334;27/04/2017;MY;;;;
12340;20/01/2017;VN;;;;
12342;11/05/2017;TW;;;;
12351;16/03/2017;ID;;;;
12358;27/01/2017;TW;;;;
12365;12/01/2017;TH;;;;
12367;06/01/2017;SG;;;;
12377;01/05/2017;SG;;;;
12382;22/02/2017;SG;;;;
12387;08/02/2017;VN;;;;
12391;29/03/2017;MY;;;;
12401;12/04/2017;ID;;;;
12411;14/02/2017;VN;;;;
12413;06/02/2017;TH;;;;
12414;24/05/2017;ID;;;;
12417;28/04/2017;TH;;;;
12425;04/02/2017;TH;;;;
12429;21/02/2017;VN;;;;
12436;03/05/2017;MY;;;;
12442;25/05/2017;ID;;;;
12443;15/05/2017;PH;;;;
12452;17/01/2017;PH;;;;
12458;28/01/2017;PH;;;;
12467;07/02/2017;TH;;;;
12475;02/01/2017;PH;;;;
12477;21/05/2017;SG;;;;
12481;11/02/2017;VN;;;;
12489;28/01/2017;SG;;;;
12492;16/01/2017;ID;;;;
12498;16/05/2017;ID;;;;
12506;03/05/2017;SG;;;;
12509;02/01/2017;ID;;;;
12516;05/01/2017;TH;;;;
12517;16/02/2017;VN;;;;
12519;16/04/2017;ID;;;;
12528;02/04/2017;SG;;;;
12533;10/03/2017;TW;;;;
12541;09/01/2017;TH;;;;
12549;21/03/2017;VN;;;;
12550;11/05/2017;ID;;;;
12553;12/01/2017;VN;;;;
12555;25/02/2017;MY;;;;
12559;13/02/2017;PH;;;;
12563;20/02/2017;VN;;;;
12567;22/03/2017;MY;;;;
12576;14/03/2017;MY;;;;
12581;17/02/2017;TH;;;;
12586;05/01/2017;MY;;;;
12587;23/03/2017;ID;;;;
12596;20/03/2017;MY;;;;
12605;12/04/2017;TW;;;;
12607;07/03/2017;MY;;;;
12609;07/02/2017;TW;;;;
12610;12/05/2017;TH;;;;
12616;05/05/2017;TW;;;;
12622;23/04/2017;TH;;;;
12625;05/02/2017;PH;;;;
12629;03/02/2017;TW;;;;
12635;30/01/2017;PH;;;;
12638;11/04/2017;MY;;;;
12643;09/05/2017;SG;;;;
12645;30/04/2017;PH;;;;
12651;25/04/2017;PH;;;;
12658;28/03/2017;TW;;;;
12660;27/03/2017;TH;;;;
12661;24/02/2017;SG;;;;
12668;28/02/2017;TW;;;;
12671;18/05/2017;ID;;;;
12675;06/01/2017;PH;;;;
12683;16/01/2017;MY;;;;
12688;22/05/2017;SG;;;;
12695;24/05/2017;TH;;;;
12704;10/03/2017;PH;;;;
12707;22/01/2017;MY;;;;
12708;10/01/2017;MY;;;;
12716;08/02/2017;PH;;;;
12721;19/04/2017;PH;;;;
12727;10/02/2017;PH;;;;
12728;13/05/2017;MY;;;;
12735;27/03/2017;TW;;;;
12736;18/03/2017;MY;;;;
12740;20/03/2017;SG;;;;
12747;14/01/2017;ID;;;;
12755;19/04/2017;PH;;;;
12759;26/02/2017;VN;;;;
12762;06/01/2017;MY;;;;
12765;24/05/2017;SG;;;;
12766;09/03/2017;PH;;;;
12774;15/03/2017;MY;;;;
12784;30/04/2017;SG;;;;
12790;15/02/2017;VN;;;;
12795;25/05/2017;PH;;;;
12801;18/01/2017;TH;;;;
12806;21/03/2017;VN;;;;
12816;03/03/2017;TW;;;;
12826;01/01/2017;TW;;;;
12834;28/01/2017;SG;;;;
12836;26/03/2017;ID;;;;
12841;20/01/2017;ID;;;;
12850;31/03/2017;VN;;;;
12851;22/01/2017;SG;;;;
12858;21/05/2017;ID;;;;
12862;25/03/2017;PH;;;;
12871;07/02/2017;TW;;;;
12881;18/03/2017;MY;;;;
12883;19/03/2017;SG;;;;
12893;26/02/2017;ID;;;;
12901;13/02/2017;PH;;;;
12909;26/03/2017;TW;;;;
12915;21/01/2017;TW;;;;
12920;23/05/2017;TH;;;;
12929;09/01/2017;TW;;;;
12931;20/04/2017;PH;;;;
12937;01/02/2017;TW;;;;
12938;13/04/2017;VN;;;;
12947;10/05/2017;SG;;;;
12957;05/03/2017;VN;;;;
12966;02/02/2017;MY;;;;
12974;13/05/2017;VN;;;;
12979;02/03/2017;MY;;;;
12984;11/01/2017;ID;;;;
12991;16/01/2017;TW;;;;
12993;13/05/2017;PH;;;;
13000;01/03/2017;PH;;;;
13003;10/04/2017;ID;;;;
13010;28/04/2017;VN;;;;
13011;09/01/2017;ID;;;;
13012;01/01/2017;TH;;;;
13021;30/04/2017;PH;;;;
13028;08/04/2017;TW;;;;
13038;31/01/2017;ID;;;;
13048;24/02/2017;TH;;;;
13050;16/01/2017;ID;;;;
13055;29/04/2017;PH;;;;
13065;01/04/2017;SG;;;;
13074;07/01/2017;TW;;;;
13079;24/01/2017;TH;;;;
13084;12/02/2017;VN;;;;
13094;27/04/2017;MY;;;;
13096;17/04/2017;VN;;;;
13100;16/02/2017;TW;;;;
13108;06/05/2017;TW;;;;
13117;07/03/2017;ID;;;;
13121;01/06/2017;SG;;;;
13131;28/02/2017;PH;;;;
13141;17/05/2017;VN;;;;
13151;04/02/2017;ID;;;;
13157;18/02/2017;PH;;;;
13159;02/02/2017;TH;;;;
13163;30/04/2017;MY;;;;
13168;28/02/2017;VN;;;;
13173;16/05/2017;TH;;;;
13182;20/04/2017;PH;;;;
13186;19/04/2017;TH;;;;
13192;20/03/2017;PH;;;;
13200;04/03/2017;MY;;;;
13207;03/02/2017;PH;;;;
13213;03/04/2017;VN;;;;
13219;19/05/2017;MY;;;;
13227;22/03/2017;VN;;;;
13231;25/05/2017;VN;;;;
13232;10/02/2017;TW;;;;
13234;13/04/2017;VN;;;;
13237;04/05/2017;SG;;;;
13241;04/02/2017;TW;;;;
13249;12/02/2017;VN;;;;
13256;22/02/2017;TW;;;;
13266;31/01/2017;TW;;;;
13276;12/04/2017;SG;;;;
13278;18/04/2017;PH;;;;
13281;31/01/2017;MY;;;;
13288;18/02/2017;TH;;;;
13295;09/03/2017;TW;;;;
13302;14/02/2017;ID;;;;
13304;18/01/2017;VN;;;;
13308;20/05/2017;VN;;;;
13311;15/04/2017;MY;;;;
13314;14/02/2017;ID;;;;
13323;05/05/2017;TW;;;;
13326;17/03/2017;PH;;;;
13335;30/04/2017;TW;;;;
13338;14/03/2017;TW;;;;
13347;15/02/2017;TW;;;;
13353;02/03/2017;MY;;;;
13355;17/01/2017;TH;;;;
13362;27/01/2017;PH;;;;
13368;06/05/2017;PH;;;;
13375;03/01/2017;PH;;;;
13376;30/05/2017;PH;;;;
13381;11/02/2017;TH;;;;
13388;18/02/2017;VN;;;;
13393;11/02/2017;VN;;;;
13398;28/05/2017;MY;;;;
13399;20/02/2017;MY;;;;
13409;17/02/2017;TH;;;;
13410;03/03/2017;TW;;;;
13416;04/02/2017;TH;;;;
13419;26/01/2017;TW;;;;
13429;21/04/2017;VN;;;;
13430;11/03/2017;TH;;;;
13435;23/03/2017;SG;;;;
13439;30/03/2017;MY;;;;
13442;06/01/2017;MY;;;;
13443;12/01/2017;PH;;;;
13445;28/04/2017;PH;;;;
13446;11/04/2017;VN;;;;
13451;27/04/2017;VN;;;;
13452;29/05/2017;TW;;;;
13460;12/01/2017;SG;;;;
13469;16/05/2017;VN;;;;
13479;12/02/2017;SG;;;;
13480;23/04/2017;TW;;;;
13487;13/03/2017;TW;;;;
13490;13/05/2017;VN;;;;
13494;03/02/2017;PH;;;;
13504;06/03/2017;VN;;;;
13510;22/05/2017;ID;;;;
13511;30/04/2017;TW;;;;
13512;23/01/2017;TW;;;;
13517;30/01/2017;MY;;;;
13524;31/01/2017;ID;;;;
13530;02/02/2017;TH;;;;
13540;03/04/2017;ID;;;;
13548;17/04/2017;ID;;;;
13550;07/03/2017;SG;;;;
13555;25/05/2017;SG;;;;
13560;16/01/2017;TH;;;;
13566;26/05/2017;SG;;;;
13567;19/04/2017;ID;;;;
13573;29/03/2017;VN;;;;
13576;27/05/2017;VN;;;;
13577;14/01/2017;ID;;;;
13584;08/03/2017;ID;;;;
13586;12/04/2017;ID;;;;
13590;29/05/2017;PH;;;;
13595;05/02/2017;PH;;;;
13598;01/01/2017;ID;;;;
13599;22/02/2017;TH;;;;
13601;28/05/2017;MY;;;;
13603;28/01/2017;TH;;;;
13605;18/03/2017;TW;;;;
13609;27/02/2017;MY;;;;
13615;31/01/2017;SG;;;;
13623;18/03/2017;TH;;;;
13631;01/03/2017;PH;;;;
13632;23/02/2017;MY;;;;
13638;07/04/2017;VN;;;;
13643;31/01/2017;SG;;;;
13644;16/05/2017;SG;;;;
13647;22/04/2017;TW;;;;
13652;17/05/2017;TW;;;;
13658;12/03/2017;ID;;;;
13664;16/05/2017;TW;;;;
13666;15/05/2017;TW;;;;
13671;14/04/2017;VN;;;;
13676;29/03/2017;SG;;;;
13677;16/02/2017;TW;;;;
13684;25/03/2017;MY;;;;
13692;03/04/2017;TH;;;;
13693;06/01/2017;PH;;;;
13701;14/03/2017;TH;;;;
13703;26/04/2017;PH;;;;
13704;26/03/2017;PH;;;;
13706;05/02/2017;SG;;;;
13713;11/01/2017;PH;;;;
13717;20/04/2017;ID;;;;
13725;21/03/2017;TH;;;;
13728;16/05/2017;MY;;;;
13738;19/04/2017;VN;;;;
13745;03/01/2017;TH;;;;
13747;18/05/2017;MY;;;;
13755;24/01/2017;VN;;;;
13762;28/04/2017;VN;;;;
13766;30/04/2017;TH;;;;
13776;17/01/2017;MY;;;;
13784;31/05/2017;SG;;;;
13788;27/03/2017;VN;;;;
13795;27/04/2017;PH;;;;
13804;12/03/2017;MY;;;;
13811;12/03/2017;PH;;;;
13818;09/05/2017;TW;;;;
13822;27/02/2017;ID;;;;
13823;15/02/2017;PH;;;;
13828;01/02/2017;VN;;;;
13837;16/01/2017;ID;;;;
13843;01/01/2017;VN;;;;
13850;18/01/2017;MY;;;;
13857;13/02/2017;TH;;;;
13862;18/05/2017;SG;;;;
13866;06/05/2017;VN;;;;
13872;11/04/2017;SG;;;;
13882;18/04/2017;ID;;;;
13890;02/03/2017;TW;;;;
13896;29/04/2017;PH;;;;
13899;20/05/2017;VN;;;;
13902;13/02/2017;TW;;;;
13912;03/04/2017;ID;;;;
13922;03/05/2017;TW;;;;
13932;01/02/2017;ID;;;;
13935;25/01/2017;PH;;;;
13941;23/05/2017;TW;;;;
13942;31/01/2017;TW;;;;
13945;10/03/2017;PH;;;;
13952;07/04/2017;ID;;;;
13956;07/05/2017;PH;;;;
13964;14/01/2017;ID;;;;
13972;18/05/2017;VN;;;;
13976;25/01/2017;TW;;;;
13981;14/03/2017;ID;;;;
13984;21/05/2017;TW;;;;
13989;02/01/2017;TH;;;;
13993;03/02/2017;VN;;;;
14001;05/01/2017;MY;;;;
14004;09/04/2017;SG;;;;
14014;07/02/2017;VN;;;;
14018;16/03/2017;MY;;;;
14024;14/05/2017;SG;;;;
14032;10/02/2017;PH;;;;
14042;16/04/2017;TW;;;;
14049;06/01/2017;TH;;;;
14055;11/02/2017;TW;;;;
14059;04/04/2017;MY;;;;
14068;09/05/2017;VN;;;;
14075;16/03/2017;PH;;;;
14083;10/05/2017;PH;;;;
14087;06/01/2017;SG;;;;
14094;02/02/2017;VN;;;;
14099;27/02/2017;VN;;;;
14101;11/03/2017;PH;;;;
14105;04/04/2017;TH;;;;
14110;01/02/2017;ID;;;;
14111;19/04/2017;TW;;;;
14114;23/05/2017;PH;;;;
14124;03/04/2017;TH;;;;
14125;26/01/2017;TW;;;;
14134;30/01/2017;MY;;;;
14140;28/02/2017;SG;;;;
14142;15/05/2017;SG;;;;
14146;06/01/2017;MY;;;;
14153;15/03/2017;MY;;;;
14163;07/03/2017;TW;;;;
14168;18/01/2017;VN;;;;
14177;08/02/2017;SG;;;;
14183;01/02/2017;SG;;;;
14188;08/03/2017;MY;;;;
14195;12/03/2017;ID;;;;
14203;03/02/2017;TW;;;;
14213;14/04/2017;PH;;;;
14219;06/04/2017;TW;;;;
14220;25/03/2017;VN;;;;
14225;20/05/2017;SG;;;;
14228;17/02/2017;SG;;;;
14230;02/04/2017;VN;;;;
14233;18/03/2017;PH;;;;
14239;17/03/2017;VN;;;;
14241;08/01/2017;TH;;;;
14245;02/04/2017;ID;;;;
14252;26/01/2017;TW;;;;
14256;30/05/2017;MY;;;;
14261;28/04/2017;TH;;;;
14268;05/01/2017;MY;;;;
14276;02/01/2017;ID;;;;
14280;14/03/2017;VN;;;;
14287;23/05/2017;PH;;;;
14294;17/03/2017;TW;;;;
14297;06/02/2017;SG;;;;
14299;13/04/2017;SG;;;;
14305;17/02/2017;TH;;;;
14314;27/04/2017;VN;;;;
14316;25/01/2017;MY;;;;
14320;06/01/2017;PH;;;;
14325;15/04/2017;TH;;;;
14330;01/06/2017;TW;;;;
14340;08/05/2017;VN;;;;
14348;07/05/2017;TW;;;;
14358;24/02/2017;TH;;;;
14359;19/02/2017;TH;;;;
14366;19/03/2017;MY;;;;
14369;09/05/2017;PH;;;;
14377;02/05/2017;MY;;;;
14384;11/03/2017;TH;;;;
14389;11/03/2017;TH;;;;
14397;17/05/2017;ID;;;;
14401;10/05/2017;TH;;;;
14405;06/04/2017;TH;;;;
14407;04/01/2017;MY;;;;
14417;26/05/2017;ID;;;;
14420;13/04/2017;TH;;;;
14422;14/05/2017;SG;;;;
14425;14/04/2017;VN;;;;
14435;11/04/2017;SG;;;;
14438;11/03/2017;TH;;;;
14441;17/05/2017;SG;;;;
14444;15/02/2017;ID;;;;
14452;24/01/2017;SG;;;;
14462;20/03/2017;TW;;;;
14468;24/05/2017;TH;;;;
14478;19/05/2017;SG;;;;
14486;06/05/2017;TH;;;;
14489;10/03/2017;TH;;;;
14495;29/03/2017;TW;;;;
14499;28/05/2017;SG;;;;
14507;31/03/2017;VN;;;;
14511;24/05/2017;PH;;;;
14517;27/02/2017;TH;;;;
14523;28/01/2017;PH;;;;
14524;15/02/2017;PH;;;;
14529;01/04/2017;TH;;;;
14534;29/04/2017;VN;;;;
14542;05/05/2017;TW;;;;
14546;23/02/2017;TH;;;;
14548;31/03/2017;PH;;;;
14555;08/02/2017;TH;;;;
14562;18/05/2017;VN;;;;
14564;20/02/2017;MY;;;;
14570;21/03/2017;PH;;;;
14571;06/05/2017;PH;;;;
14578;04/01/2017;TW;;;;
14588;24/04/2017;MY;;;;
14593;22/04/2017;MY;;;;
14596;25/04/2017;PH;;;;
14602;01/05/2017;TW;;;;
14611;04/05/2017;VN;;;;
14620;09/05/2017;ID;;;;
14623;07/04/2017;MY;;;;
14632;04/03/2017;TH;;;;
14641;29/04/2017;ID;;;;
14647;06/02/2017;MY;;;;
14648;03/04/2017;TW;;;;
14657;03/05/2017;TW;;;;
14664;24/01/2017;MY;;;;
14672;12/02/2017;VN;;;;
14675;13/03/2017;ID;;;;
14685;03/03/2017;VN;;;;
14691;15/04/2017;ID;;;;
14693;05/02/2017;PH;;;;
14696;27/04/2017;TW;;;;
14699;23/02/2017;ID;;;;
14701;16/04/2017;PH;;;;
14705;06/05/2017;TW;;;;
14710;07/05/2017;TH;;;;
14719;23/02/2017;PH;;;;
14728;28/02/2017;MY;;;;
14736;08/02/2017;VN;;;;
14738;17/02/2017;MY;;;;
14748;03/03/2017;MY;;;;
14756;26/05/2017;TH;;;;
14757;29/03/2017;SG;;;;
